PLAYER,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,
389,Ivica Zubac,"$1,034,865 ","$1,081,529 ","$1,128,102 ",$0 ,$0 ,$0 
390,Richaun Holmes,"$1,024,000 ","$1,014,000 ","$1,088,000 ",$0 ,$0 ,$0 
391,Isaiah Canaan,"$1,015,696 ","$1,087,745 ",$0 ,$0 ,$0 ,$0 
391,Mike Muscala,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Anthony Bennett,"$1,015,696 ","$1,087,745 ",$0 ,$0 ,$0 ,$0 
391,Lorenzo Brown,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Ray McCallum,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Ian Clark,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Justin Holiday,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Robert Covington,"$1,015,696 ","$1,087,745 ",$0 ,$0 ,$0 ,$0 
391,Hollis Thompson,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
391,Jeff Withey,"$1,015,696 ",$0 ,$0 ,$0 ,$0 ,$0 
401,Walter Tavares,"$1,000,000 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
402,Joe Harris,"$980,431 ","$1,051,245 ",$0 ,$0 ,$0 ,$0 
402,Spencer Dinwiddie,"$980,431 ","$1,051,245 ",$0 ,$0 ,$0 ,$0 
402,Sean Kilpatrick,"$980,431 ","$1,051,245 ",$0 ,$0 ,$0 ,$0 
402,Markel Brown,"$980,431 ",$0 ,$0 ,$0 ,$0 ,$0 
402,Nick Johnson,"$980,431 ",$0 ,$0 ,$0 ,$0 ,$0 
402,James Michael McAdoo,"$980,431 ",$0 ,$0 ,$0 ,$0 ,$0 
402,JaMychal Green,"$980,431 ",$0 ,$0 ,$0 ,$0 ,$0 
402,Jerami Grant,"$980,431 ","$1,051,245 ",$0 ,$0 ,$0 ,$0 
410,Andrew Harrison,"$945,000 ","$987,500 ","$1,050,262 ",$0 ,$0 ,$0 
411,Tyler Ulis,"$918,369 ","$905,249 ","$1,050,262 ","$1,126,120 ",$0 ,$0 
412,Raul Neto,"$877,800 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
413,Malcolm Brogdon,"$875,000 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
414,DJ Stephens,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,Aaron Harrison,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Christian Wood,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,Salah Mejri,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Axel Toupane,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Darrun Hilliard,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Anthony Brown,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,Willie Reed,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,TJ McConnell,"$874,636 ","$1,014,746 ","$1,088,038 ",$0 ,$0 ,$0 
414,Alan Williams,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Pat Connaughton,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
414,Lamar Patterson,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Jonathon Simmons,"$874,636 ",$0 ,$0 ,$0 ,$0 ,$0 
414,Norman Powell,"$874,636 ","$1,014,746 ",$0 ,$0 ,$0 ,$0 
428,Paul Zipser,"$750,000 ","$905,249 ","$1,050,262 ","$1,126,120 ",$0 ,$0 
429,Michael Gbinije,"$650,000 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
430,Jake Layman,"$600,000 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Ben Bentil,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Treveon Graham,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Patrick McCaw,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Chinanu Onuaku,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Diamond Stone,"$543,471 ","$905,249 ",,$0 ,$0 ,$0 
431,Stefan Jankovic,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Cheick Diallo,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Marshall Plumlee,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Semaj Christon,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Brandon Paul,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Davis Bertans,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Bryn Forbes,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Jarrod Uthoff,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Danuel House,"$543,471 ","$905,249 ",$0 ,$0 ,$0 ,$0 
431,Yogi Ferrell,"$543,471 ",$0 ,$0 ,$0 ,$0 ,$0 
431,Jonathan Gibson,"$543,471 ","$905,249 ","$1,050,262 ",$0 ,$0 ,$0 
431,Jameel Warney,"$543,471 ",$0 ,$0 ,$0 ,$0 ,$0 
