PLAYER,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,
191,Larry Sanders,"$5,000,000 ","$5,000,000 ",$0 ,$0 ,$0 ,$0 
191,CJ Watson,"$5,000,000 ","$5,000,000 ",$0 ,$0 ,$0 ,$0 
191,Jonas Jerebko,"$5,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
191,Luis Scola,"$5,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
191,Greivis Vasquez,"$5,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
191,Roy Hibbert,"$5,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
191,Tony Allen,"$5,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
191,Brandon Jennings,"$5,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
200,Alexis Ajinca,"$4,863,206 ","$5,186,798 ","$5,510,394 ",$0 ,$0 ,$0 
201,Kyle Singler,"$4,837,500 ","$4,666,500 ","$4,996,000 ","$5,333,500 ",$0 ,$0 
201,Mike Dunleavy,"$4,837,500 ","$5,175,000 ",$0 ,$0 ,$0 ,$0 
203,Joel Embiid,"$4,826,160 ","$6,100,266 ","$8,003,549 ",$0 ,$0 ,$0 
204,Alex Len,"$4,823,621 ","$6,396,121 ",$0 ,$0 ,$0 ,$0 
205,Jahlil Okafor,"$4,788,840 ","$4,995,120 ","$6,313,831 ","$8,283,747 ",$0 ,$0 
206,Jaylen Brown,"$4,743,000 ","$4,956,480 ","$5,169,960 ","$6,534,829 ","$8,573,696 ",$0 
207,Marcus Morris,"$4,625,000 ","$5,000,000 ","$5,375,000 ",$0 ,$0 ,$0 
208,Derrick Williams,"$4,598,000 ",$0 ,$0 ,$0 ,$0 ,$0 
209,CJ Miles,"$4,583,450 ","$4,772,675 ",$0 ,$0 ,$0 ,$0 
210,Jameer Nelson,"$4,540,525 ","$4,736,050 ",$0 ,$0 ,$0 ,$0 
211,Nerlens Noel,"$4,384,490 ","$5,848,909 ",$0 ,$0 ,$0 ,$0 
212,Aaron Gordon,"$4,351,320 ","$5,504,419 ","$7,260,329 ",$0 ,$0 ,$0 
213,Kristaps Porzingis,"$4,317,720 ","$4,503,600 ","$5,697,054 ","$7,514,414 ",$0 ,$0 
214,Dragan Bender,"$4,276,320 ","$4,468,800 ","$4,661,280 ","$5,896,519 ","$7,777,508 ",$0 
215,Vince Carter,"$4,264,057 ",$0 ,$0 ,$0 ,$0 ,$0 
216,Devin Harris,"$4,227,996 ","$4,402,546 ",$0 ,$0 ,$0 ,$0 
217,Jose Juan Barea,"$4,096,950 ","$3,903,900 ","$3,710,850 ",$0 ,$0 ,$0 
