"Storm" "Year" "Name" "StartMonth" "maxWS" "minCP" "avgLat" "avgLon" "madeLandfall" "Max_Landfall_Speed" "Min_Landfall_Pressure"
"1" 6038 1960 "UNNAMED" 6 35.0000005215406 1002.00001493096 24.3999994546175 -96.1333311845859 FALSE 0 Inf
"2" 6069 1960 "DONNA" 9 140.000002086163 932.000013887882 22.9719994865358 -70.7439984187484 TRUE 120.000001788139 938.000013977289
"3" 6075 1960 "ETHEL" 9 110.000001639128 981.000014618039 26.999999396503 -89.0999980084598 FALSE 0 Inf
"4" 6170 1961 "ANNA" 7 100.000001490116 976.000014543533 13.9099996890873 -74.4099983368069 TRUE 100.000001490116 990.00001475215
"5" 6190 1961 "BETSY" 9 120.000001788139 945.000014081597 30.3666659879188 -52.4066654952864 FALSE 0 Inf
"6" 6191 1961 "CARLA" 9 150.000002235174 931.000013872981 22.766666157792 -89.205553561656 TRUE 125.000001862645 931.000013872981
"7" 6196 1961 "DEBBIE" 9 105.000001564622 970.000014454126 36.6749991802499 -37.0999991707504 FALSE 0 Inf
"8" 6198 1961 "ESTHER" 9 125.000001862645 927.000013813376 28.0923070643957 -62.7615370587088 TRUE 40.0000005960464 996.000014841557
"9" 6206 1961 "FRANCES" 10 110.000001639128 948.000014126301 23.2874994794838 -67.0374985015951 FALSE 0 Inf
"10" 6215 1961 "GERDA" 10 60.0000008940697 987.000014707446 30.6111104268995 -72.0888872775767 TRUE 30.0000004470348 1003.00001494586
"11" 6220 1961 "HATTIE" 10 140.000002086163 920.000013709068 16.2499996367842 -83.1999981403351 FALSE 0 Inf
"12" 6223 1961 "JENNY" 11 70.0000010430813 974.000014513731 27.8624993772246 -50.4874988715164 FALSE 0 Inf
"13" 6224 1961 "INGA" 11 60.0000008940697 992.000014781952 21.3249995233491 -95.3249978693202 FALSE 0 Inf
"14" 6301 1962 "ALMA" 8 80.0000011920929 986.000014692545 37.0374991721474 -72.4124983814545 FALSE 0 Inf
"15" 6309 1962 "CELIA" 9 60.0000008940697 995.000014826655 24.0142851775246 -56.3142844555633 FALSE 0 Inf
"16" 6319 1962 "DAISY" 10 95.0000014156103 965.000014379621 29.1999993473291 -67.0428556443325 FALSE 0 Inf
"17" 6323 1962 "ELLA" 10 100.000001490116 950.000014156103 29.8894730161287 -72.67894574392 FALSE 0 Inf
"18" 6413 1963 "ARLENE" 8 90.0000013411045 969.000014439225 24.3769225320564 -60.5615371078826 FALSE 0 Inf
"19" 6418 1963 "BEULAH" 8 105.000001564622 958.000014275312 24.1727267324247 -57.9272714324973 FALSE 0 Inf
"20" 6428 1963 "UNNAMED" 9 50.0000007450581 992.000014781952 38.3749991422519 -53.6499988008291 FALSE 0 Inf
"21" 6431 1963 "CINDY" 9 70.0000010430813 996.000014841557 28.8999993540347 -94.1499978955835 TRUE 70.0000010430813 996.000014841557
"22" 6434 1963 "DEBRA" 9 65.0000009685755 999.00001488626 24.3285708847855 -46.9285703796361 FALSE 0 Inf
"23" 6437 1963 "EDITH" 9 85.0000012665987 990.00001475215 15.2799996584654 -63.1499985884875 TRUE 65.0000009685755 996.000014841557
"24" 6440 1963 "FLORA" 9 125.000001862645 940.000014007092 21.024241954314 -67.7818166667765 TRUE 105.000001564622 970.000014454126
"25" 6448 1963 "GINNY" 10 95.0000014156103 958.000014275312 31.9782601547954 -76.1043461250222 FALSE 0 Inf
